"Coefficient","mean","sd","median","95% CI","species"
"beta.developed_high_intensity",17,2.7,17,"12 - 23","Great-tailed Grackle"
"beta.developed_high_intensity_sq",-8.4,2.7,-8.4,"-14 - -3.2","Great-tailed Grackle"
"beta.developed_low_intensity",1.7,5.8,2,"-11 - 12","Great-tailed Grackle"
"beta.developed_low_intensity_sq",-7.3,4.5,-7.3,"-16 - 1.6","Great-tailed Grackle"
"beta.effort_hours",0.17,0.068,0.17,"0.039 - 0.3","Great-tailed Grackle"
"beta.elevation",-6,6.4,-6.1,"-19 - 6.7","Great-tailed Grackle"
"beta.elevation_sq",-9.7,6.2,-9.7,"-22 - 1.9","Great-tailed Grackle"
"beta.emergent_wetland",-2.1,4.9,-2.1,"-12 - 7.5","Great-tailed Grackle"
"beta.emergent_wetland_sq",6.3,5.3,7,"-8.1 - 15","Great-tailed Grackle"
"beta.evergreen_forest",-20,7.7,-20,"-34 - -4.6","Great-tailed Grackle"
"beta.evergreen_forest_sq",3.9,6.3,3.9,"-8.7 - 16","Great-tailed Grackle"
"beta.grassland_herbaceous",-13,5.3,-13,"-24 - -3.1","Great-tailed Grackle"
"beta.grassland_herbaceous_sq",0.92,4.5,1,"-8.1 - 9.6","Great-tailed Grackle"
"beta.lakes",-3.9,8.2,-3.9,"-20 - 11","Great-tailed Grackle"
"beta.lakes_sq",-1,6.4,-0.71,"-14 - 10","Great-tailed Grackle"
"beta.max_temperature",41,6,41,"30 - 53","Great-tailed Grackle"
"beta.max_temperature_sq",0.2,4.6,0.27,"-8.8 - 9.2","Great-tailed Grackle"
"beta.mixed_forest",-6.9,7,-6.8,"-21 - 6.3","Great-tailed Grackle"
"beta.mixed_forest_sq",-5.2,7.5,-5.6,"-19 - 9.3","Great-tailed Grackle"
"beta.number_observers",0.081,0.082,0.084,"-0.086 - 0.24","Great-tailed Grackle"
"beta.ocean",13,6.2,13,"-2.3 - 24","Great-tailed Grackle"
"beta.ocean_sq",1.7,4.4,1.4,"-6.4 - 11","Great-tailed Grackle"
"beta.pasture_hay",0.17,5.9,0.16,"-12 - 12","Great-tailed Grackle"
"beta.pasture_hay_sq",-11,4.5,-11,"-19 - -1.8","Great-tailed Grackle"
"beta.precipitation",2.6,6.1,2.5,"-9.4 - 14","Great-tailed Grackle"
"beta.precipitation_sq",-24,4.9,-24,"-34 - -15","Great-tailed Grackle"
"beta.rivers",-11,7.2,-11,"-24 - 5","Great-tailed Grackle"
"beta.rivers_sq",-0.11,6.9,0.19,"-14 - 13","Great-tailed Grackle"
"beta.shrub_scrub",-17,6.2,-18,"-28 - -5.3","Great-tailed Grackle"
"beta.shrub_scrub_sq",-13,4.6,-13,"-22 - -4.6","Great-tailed Grackle"
"beta.slope",-7,6.3,-6.8,"-20 - 5","Great-tailed Grackle"
"beta.slope_sq",8.1,6.8,9.4,"-8.9 - 18","Great-tailed Grackle"
"beta.time_of_day",0.074,0.073,0.074,"-0.067 - 0.22","Great-tailed Grackle"
"beta.woody_wetland",-4.1,6.5,-4.1,"-18 - 8","Great-tailed Grackle"
"beta.woody_wetland_sq",-6.6,7.1,-6.1,"-22 - 5.7","Great-tailed Grackle"
"beta.0",-2.9,0.04,-2.9,"-3 - -2.8","Great Blue Heron"
"beta.aspect",-7.7,9.8,-8,"-24 - 12","Great Blue Heron"
"beta.aspect_sq",-2.3,6.4,-3.2,"-13 - 12","Great Blue Heron"
"beta.barren_land",0.85,4.6,1.2,"-8.8 - 9.1","Great Blue Heron"
"beta.barren_land_sq",-1.6,6.7,-1.1,"-15 - 9.8","Great Blue Heron"
"beta.cultivated_crop",7.2,5.4,7.3,"-3.7 - 17","Great Blue Heron"
"beta.cultivated_crop_sq",-5.9,4,-5.9,"-14 - 2.1","Great Blue Heron"
"beta.deciduous_forest",-16,10,-18,"-28 - 16","Great Blue Heron"
"beta.deciduous_forest_sq",-0.55,4.3,-0.58,"-8.8 - 7.9","Great Blue Heron"
"beta.developed_high_intensity",-13,5.9,-14,"-23 - 2.2","Great Blue Heron"
"beta.developed_high_intensity_sq",-9.6,4.8,-9.9,"-19 - 0.55","Great Blue Heron"
"beta.developed_low_intensity",-25,4.5,-25,"-34 - -16","Great Blue Heron"
"beta.developed_low_intensity_sq",1.8,4,1.8,"-6.3 - 9.7","Great Blue Heron"
"beta.effort_hours",0.34,0.025,0.34,"0.29 - 0.39","Great Blue Heron"
"beta.elevation",-15,5.7,-15,"-26 - -3.7","Great Blue Heron"
"beta.elevation_sq",26,4.7,26,"17 - 35","Great Blue Heron"
"beta.emergent_wetland",24,2.7,24,"19 - 30","Great Blue Heron"
"beta.emergent_wetland_sq",-14,2.6,-14,"-19 - -9.3","Great Blue Heron"
"beta.evergreen_forest",-22,6.1,-22,"-34 - -9.8","Great Blue Heron"
"beta.evergreen_forest_sq",3.7,5.3,3.7,"-6.9 - 14","Great Blue Heron"
"beta.grassland_herbaceous",-3.7,5.1,-3.6,"-14 - 6","Great Blue Heron"
"beta.grassland_herbaceous_sq",4.1,4.5,4.2,"-4.9 - 13","Great Blue Heron"
"beta.lakes",30,5.2,31,"19 - 39","Great Blue Heron"
"beta.lakes_sq",-17,3.4,-17,"-23 - -9.9","Great Blue Heron"
"beta.max_temperature",22,5.1,22,"12 - 32","Great Blue Heron"
"beta.max_temperature_sq",-13,4.8,-13,"-22 - -3.8","Great Blue Heron"
"beta.mixed_forest",-18,5.2,-18,"-28 - -7.6","Great Blue Heron"
"beta.mixed_forest_sq",2.1,4.6,2.2,"-7.1 - 11","Great Blue Heron"
"beta.number_observers",0.064,0.033,0.064,"-0.003 - 0.13","Great Blue Heron"
"beta.ocean",10,6,11,"-3.5 - 20","Great Blue Heron"
"beta.ocean_sq",-12,4.4,-12,"-23 - -5","Great Blue Heron"
"beta.pasture_hay",17,4.8,17,"6.7 - 26","Great Blue Heron"
"beta.pasture_hay_sq",-11,5.2,-12,"-20 - 0.85","Great Blue Heron"
"beta.precipitation",-4.2,5.7,-4.5,"-15 - 8","Great Blue Heron"
"beta.precipitation_sq",-0.21,4.1,-0.22,"-8.1 - 7.8","Great Blue Heron"
"beta.rivers",16,3,16,"10 - 22","Great Blue Heron"
"beta.rivers_sq",-7.5,2.6,-7.4,"-13 - -2.4","Great Blue Heron"
"beta.shrub_scrub",-4.7,6.2,-4.8,"-17 - 7.6","Great Blue Heron"
"beta.shrub_scrub_sq",-1.3,7.3,-0.62,"-16 - 11","Great Blue Heron"
"beta.slope",-17,4.6,-17,"-26 - -7.9","Great Blue Heron"
"beta.slope_sq",9.4,3.7,9.5,"1.4 - 16","Great Blue Heron"
"beta.time_of_day",0.086,0.033,0.086,"0.022 - 0.15","Great Blue Heron"
"beta.woody_wetland",8.1,7.1,9.3,"-16 - 17","Great Blue Heron"
"beta.woody_wetland_sq",-14,5.7,-15,"-23 - 2.1","Great Blue Heron"
"beta.0",-2.5,0.041,-2.5,"-2.6 - -2.4","Great Crested Flycatcher"
"beta.aspect",-7.6,5.9,-7.7,"-19 - 4.4","Great Crested Flycatcher"
"beta.aspect_sq",11,4.5,12,"2.8 - 20","Great Crested Flycatcher"
"beta.barren_land",-9.4,6.1,-9.1,"-22 - 1.7","Great Crested Flycatcher"
"beta.barren_land_sq",-0.26,5.7,0.15,"-12 - 9.9","Great Crested Flycatcher"
"beta.cultivated_crop",-1.4,5.7,-1.6,"-12 - 10","Great Crested Flycatcher"
"beta.cultivated_crop_sq",-11,4.3,-11,"-20 - -2.9","Great Crested Flycatcher"
"beta.deciduous_forest",22,3.3,22,"15 - 28","Great Crested Flycatcher"
"beta.deciduous_forest_sq",-10,3.1,-9.9,"-16 - -3.8","Great Crested Flycatcher"
"beta.developed_high_intensity",-29,5.9,-28,"-41 - -18","Great Crested Flycatcher"
"beta.developed_high_intensity_sq",2.3,5.1,2.3,"-7.8 - 12","Great Crested Flycatcher"
"beta.developed_low_intensity",-18,5.8,-19,"-29 - -5.7","Great Crested Flycatcher"
"beta.developed_low_intensity_sq",2,5.4,1.7,"-7.7 - 14","Great Crested Flycatcher"
"beta.effort_hours",0.28,0.027,0.28,"0.23 - 0.33","Great Crested Flycatcher"
"beta.elevation",-24,5.8,-24,"-35 - -12","Great Crested Flycatcher"
"beta.elevation_sq",-0.76,5.3,-0.67,"-11 - 9.2","Great Crested Flycatcher"
"beta.emergent_wetland",1.5,4.9,1.5,"-8.6 - 11","Great Crested Flycatcher"
"beta.emergent_wetland_sq",-24,6.5,-24,"-37 - -11","Great Crested Flycatcher"
"beta.evergreen_forest",5.1,4.6,5.1,"-4 - 14","Great Crested Flycatcher"
"beta.evergreen_forest_sq",-17,5.2,-17,"-27 - -6.3","Great Crested Flycatcher"
"beta.grassland_herbaceous",11,4.9,11,"1.2 - 20","Great Crested Flycatcher"
"beta.grassland_herbaceous_sq",-5.9,5.6,-6.1,"-17 - 4.8","Great Crested Flycatcher"
"beta.lakes",-2.6,6.1,-2.9,"-14 - 9.8","Great Crested Flycatcher"
"beta.lakes_sq",-5.2,5.9,-5.2,"-16 - 6.9","Great Crested Flycatcher"
"beta.max_temperature",12,5.8,12,"0.29 - 23","Great Crested Flycatcher"
"beta.max_temperature_sq",-23,5.1,-23,"-33 - -13","Great Crested Flycatcher"
"beta.mixed_forest",-11,6,-11,"-22 - 1.5","Great Crested Flycatcher"
"beta.mixed_forest_sq",-5.4,4.2,-5.3,"-14 - 2.7","Great Crested Flycatcher"
"beta.number_observers",-0.21,0.06,-0.21,"-0.33 - -0.094","Great Crested Flycatcher"
"beta.ocean",-12,5.3,-12,"-22 - -0.86","Great Crested Flycatcher"
"beta.ocean_sq",-0.52,4.1,-0.33,"-9.1 - 7.2","Great Crested Flycatcher"
"beta.pasture_hay",4.1,4.7,4.2,"-5.3 - 13","Great Crested Flycatcher"
"beta.pasture_hay_sq",-0.58,4,-0.59,"-8.3 - 7.1","Great Crested Flycatcher"
"beta.precipitation",1.9,4.3,1.9,"-6.6 - 10","Great Crested Flycatcher"
"beta.precipitation_sq",-4.4,4.2,-4.4,"-13 - 3.5","Great Crested Flycatcher"
"beta.rivers",-6,4.5,-6,"-15 - 2.7","Great Crested Flycatcher"
"beta.rivers_sq",-0.43,4.5,-0.17,"-9.8 - 7.6","Great Crested Flycatcher"
"beta.shrub_scrub",-6.4,5.6,-6.2,"-18 - 4","Great Crested Flycatcher"
"beta.shrub_scrub_sq",0.99,5.2,1.1,"-10 - 11","Great Crested Flycatcher"
"beta.slope",7.6,6.1,8.7,"-8.5 - 17","Great Crested Flycatcher"
"beta.slope_sq",-11,4.8,-11,"-21 - -1.5","Great Crested Flycatcher"
"beta.time_of_day",-0.16,0.034,-0.16,"-0.22 - -0.09","Great Crested Flycatcher"
"beta.woody_wetland",19,4.8,19,"10 - 29","Great Crested Flycatcher"
"beta.woody_wetland_sq",-18,4.2,-18,"-27 - -9.7","Great Crested Flycatcher"
"beta.0",-3.5,0.067,-3.5,"-3.7 - -3.4","Great Egret"
"beta.aspect",-2.7,5,-2.4,"-13 - 6.2","Great Egret"
"beta.aspect_sq",13,8.5,15,"-11 - 24","Great Egret"
"beta.barren_land",-4,5.2,-3.8,"-15 - 5.7","Great Egret"
"beta.barren_land_sq",-3.4,7.9,-2.8,"-19 - 9.9","Great Egret"
"beta.cultivated_crop",-12,9,-13,"-25 - 13","Great Egret"
"beta.cultivated_crop_sq",-1.3,5,-1.2,"-11 - 8.5","Great Egret"
"beta.deciduous_forest",-30,7.3,-30,"-44 - -16","Great Egret"
"beta.deciduous_forest_sq",13,6.1,13,"0.86 - 25","Great Egret"
"beta.developed_high_intensity",4.3,8.8,4.5,"-13 - 20","Great Egret"
"beta.developed_high_intensity_sq",-14,6.2,-13,"-27 - -2.5","Great Egret"
"beta.developed_low_intensity",-20,9.5,-22,"-33 - 11","Great Egret"
"beta.developed_low_intensity_sq",0.72,4.8,0.78,"-8.7 - 9.9","Great Egret"
"beta.effort_hours",0.23,0.039,0.23,"0.15 - 0.31","Great Egret"
"beta.elevation",-32,6.7,-32,"-45 - -19","Great Egret"
"beta.elevation_sq",21,6.2,21,"8.2 - 33","Great Egret"
"beta.emergent_wetland",31,3,31,"25 - 37","Great Egret"
"beta.emergent_wetland_sq",-13,2.8,-13,"-19 - -8.1","Great Egret"
"beta.evergreen_forest",-21,7.6,-21,"-36 - -5.8","Great Egret"
"beta.evergreen_forest_sq",0.57,6.8,0.76,"-13 - 13","Great Egret"
"beta.grassland_herbaceous",0.91,6.6,0.95,"-12 - 14","Great Egret"
"beta.grassland_herbaceous_sq",-8.4,5.7,-8.2,"-20 - 2.4","Great Egret"
"beta.lakes",17,4.5,17,"8 - 26","Great Egret"
"beta.lakes_sq",-16,3.9,-16,"-25 - -9.2","Great Egret"
"beta.max_temperature",31,5.4,31,"20 - 42","Great Egret"
"beta.max_temperature_sq",-4.2,5,-4.1,"-14 - 5.5","Great Egret"
"beta.mixed_forest",-27,7.2,-27,"-41 - -13","Great Egret"
"beta.mixed_forest_sq",4.4,8.1,4.9,"-13 - 19","Great Egret"
"beta.number_observers",0.11,0.044,0.12,"0.027 - 0.2","Great Egret"
"beta.ocean",11,3.9,11,"3.1 - 19","Great Egret"
"beta.ocean_sq",-9,3.3,-8.9,"-15 - -2.6","Great Egret"
"beta.pasture_hay",14,5.3,14,"3.9 - 25","Great Egret"
"beta.pasture_hay_sq",1.8,6.9,2.1,"-12 - 14","Great Egret"
"beta.precipitation",4.6,6.1,4.7,"-7.4 - 16","Great Egret"
"beta.precipitation_sq",4.4,4.3,4.4,"-4.2 - 13","Great Egret"
"beta.rivers",8.1,3.8,8.2,"0.29 - 15","Great Egret"
"beta.rivers_sq",-5.1,5.5,-4.8,"-17 - 4.6","Great Egret"
"beta.shrub_scrub",-13,7,-13,"-26 - 0.95","Great Egret"
"beta.shrub_scrub_sq",5.1,7.2,5.6,"-10 - 18","Great Egret"
"beta.slope",-16,6.8,-16,"-29 - -2","Great Egret"
"beta.slope_sq",8.9,6,9.2,"-4.1 - 20","Great Egret"
"beta.time_of_day",0.094,0.048,0.094,"-0.00068 - 0.19","Great Egret"
"beta.woody_wetland",6.7,5.3,6.8,"-3.8 - 17","Great Egret"
"beta.woody_wetland_sq",-2.2,8.5,-3.3,"-17 - 12","Great Egret"
"beta.0",-4.2,0.2,-4.1,"-4.6 - -3.8","Greater Roadrunner"
"beta.aspect",0.28,6.5,0.095,"-12 - 14","Greater Roadrunner"
"beta.aspect_sq",-3.7,6.3,-3.4,"-17 - 8.1","Greater Roadrunner"
"beta.barren_land",4.8,5,5.2,"-5.9 - 13","Greater Roadrunner"
"beta.barren_land_sq",3,4.5,3.1,"-6 - 12","Greater Roadrunner"
"beta.cultivated_crop",-4.7,5.9,-4.6,"-17 - 6.7","Greater Roadrunner"
"beta.cultivated_crop_sq",11,5.7,11,"-0.68 - 22","Greater Roadrunner"
"beta.deciduous_forest",-3.4,7.6,-3.2,"-19 - 11","Greater Roadrunner"
"beta.deciduous_forest_sq",-6.8,7.1,-6.6,"-21 - 6.6","Greater Roadrunner"
"beta.developed_high_intensity",-17,9.1,-17,"-34 - 2.7","Greater Roadrunner"
"beta.developed_high_intensity_sq",3,7.1,3.8,"-13 - 15","Greater Roadrunner"
"beta.developed_low_intensity",-0.32,6.8,-0.22,"-14 - 13","Greater Roadrunner"
"beta.developed_low_intensity_sq",-7.2,6,-7,"-20 - 4","Greater Roadrunner"
"beta.effort_hours",0.62,0.089,0.62,"0.44 - 0.79","Greater Roadrunner"
"beta.elevation",4,7.1,4.1,"-10 - 18","Greater Roadrunner"
"beta.elevation_sq",-4.1,6.8,-4.1,"-18 - 9","Greater Roadrunner"
"beta.emergent_wetland",-9.8,7.5,-9.5,"-25 - 4.2","Greater Roadrunner"
"beta.emergent_wetland_sq",0.58,6.8,0.65,"-13 - 14","Greater Roadrunner"
"beta.evergreen_forest",-16,7.3,-16,"-31 - -2","Greater Roadrunner"
"beta.evergreen_forest_sq",4.4,7.8,4.6,"-12 - 19","Greater Roadrunner"
"beta.grassland_herbaceous",-7.2,6.8,-7.1,"-21 - 5.9","Greater Roadrunner"
"beta.grassland_herbaceous_sq",-5.2,6.8,-5.1,"-19 - 7.6","Greater Roadrunner"
"beta.lakes",-12,7,-12,"-27 - 0.68","Greater Roadrunner"
"beta.lakes_sq",1.7,6.5,2,"-12 - 14","Greater Roadrunner"
"beta.max_temperature",17,7.1,17,"3.4 - 31","Greater Roadrunner"
"beta.max_temperature_sq",-5.3,6.4,-5.2,"-18 - 7","Greater Roadrunner"
"beta.mixed_forest",-2.4,7.8,-2.3,"-18 - 13","Greater Roadrunner"
"beta.mixed_forest_sq",-4.2,7.4,-4,"-19 - 9.8","Greater Roadrunner"
"beta.number_observers",-0.16,0.17,-0.15,"-0.53 - 0.13","Greater Roadrunner"
"beta.ocean",-5.3,8.2,-5,"-22 - 9.9","Greater Roadrunner"
"beta.ocean_sq",-0.9,7.8,-0.63,"-17 - 14","Greater Roadrunner"
"beta.pasture_hay",6.7,7.3,6.9,"-8.1 - 21","Greater Roadrunner"
"beta.pasture_hay_sq",-6,8.4,-5.8,"-23 - 8.9","Greater Roadrunner"
"beta.precipitation",-3.4,7.7,-3.4,"-18 - 12","Greater Roadrunner"
"beta.precipitation_sq",-9.6,7.4,-9.5,"-24 - 4.7","Greater Roadrunner"
"beta.rivers",1.9,7.1,2.4,"-14 - 15","Greater Roadrunner"
"beta.rivers_sq",1.9,7.2,2.7,"-14 - 14","Greater Roadrunner"
"beta.shrub_scrub",16,7.4,16,"1.5 - 31","Greater Roadrunner"
"beta.shrub_scrub_sq",-2.8,5,-2.8,"-13 - 7","Greater Roadrunner"
"beta.slope",-6.3,7.6,-6.3,"-21 - 8.4","Greater Roadrunner"
"beta.slope_sq",-7.1,6.8,-6.9,"-21 - 5.8","Greater Roadrunner"
"beta.time_of_day",0.15,0.14,0.15,"-0.12 - 0.42","Greater Roadrunner"
"beta.woody_wetland",-3.8,7.8,-3.6,"-20 - 11","Greater Roadrunner"
"beta.woody_wetland_sq",-1.6,7.5,-1.5,"-17 - 13","Greater Roadrunner"
"beta.0",-5.3,0.45,-5.3,"-6.2 - -4.5","Greater Yellowlegs"
"beta.aspect",-5.7,8,-5.9,"-21 - 11","Greater Yellowlegs"
"beta.aspect_sq",1.2,6.9,1.5,"-13 - 14","Greater Yellowlegs"
"beta.barren_land",-2.8,7.6,-2.3,"-19 - 11","Greater Yellowlegs"
"beta.barren_land_sq",-7.4,7.9,-6.8,"-24 - 6.6","Greater Yellowlegs"
"beta.cultivated_crop",5.6,6.8,5.6,"-7.9 - 19","Greater Yellowlegs"
"beta.cultivated_crop_sq",10,6.1,10,"-1.8 - 22","Greater Yellowlegs"
"beta.deciduous_forest",1.6,8.8,2.1,"-17 - 18","Greater Yellowlegs"
"beta.deciduous_forest_sq",-6.6,7.7,-6.6,"-22 - 8.4","Greater Yellowlegs"
"beta.developed_high_intensity",-0.12,7.9,0.028,"-16 - 15","Greater Yellowlegs"
"beta.developed_high_intensity_sq",1.5,8.5,1.8,"-16 - 17","Greater Yellowlegs"
"beta.developed_low_intensity",-8.3,8.1,-8.3,"-24 - 7.8","Greater Yellowlegs"
"beta.developed_low_intensity_sq",3,7.7,3.2,"-13 - 18","Greater Yellowlegs"
"beta.effort_hours",0.48,0.23,0.49,"0.02 - 0.91","Greater Yellowlegs"
"beta.elevation",0.57,8,0.57,"-15 - 16","Greater Yellowlegs"
"beta.elevation_sq",-3.7,7,-3.6,"-18 - 9.8","Greater Yellowlegs"
"beta.emergent_wetland",19,6.2,19,"6.5 - 31","Greater Yellowlegs"
"beta.emergent_wetland_sq",-10,5.5,-9.8,"-21 - 0.23","Greater Yellowlegs"
"beta.evergreen_forest",-6.6,8.5,-6.5,"-23 - 9.9","Greater Yellowlegs"
"beta.evergreen_forest_sq",-0.58,7.1,-0.24,"-15 - 12","Greater Yellowlegs"
"beta.grassland_herbaceous",-5.3,8,-5.2,"-21 - 10","Greater Yellowlegs"
"beta.grassland_herbaceous_sq",-4.9,7.7,-4.5,"-21 - 9","Greater Yellowlegs"
"beta.lakes",-4,6.8,-3.5,"-18 - 8.2","Greater Yellowlegs"
"beta.lakes_sq",-14,8.1,-14,"-28 - 3.5","Greater Yellowlegs"
"beta.max_temperature",-4.9,7.4,-4.9,"-20 - 9.8","Greater Yellowlegs"
"beta.max_temperature_sq",5.2,6.6,5.3,"-8.1 - 18","Greater Yellowlegs"
"beta.mixed_forest",-3.3,7.5,-3.1,"-19 - 11","Greater Yellowlegs"
"beta.mixed_forest_sq",-0.23,6.9,0.16,"-15 - 12","Greater Yellowlegs"
"beta.number_observers",-0.16,0.33,-0.13,"-0.87 - 0.42","Greater Yellowlegs"
"beta.ocean",-8.2,8,-8.1,"-24 - 7.4","Greater Yellowlegs"
"beta.ocean_sq",1.7,6.9,2,"-13 - 15","Greater Yellowlegs"
"beta.pasture_hay",-3.8,7.9,-3.5,"-20 - 11","Greater Yellowlegs"
"beta.pasture_hay_sq",-3.6,7.4,-3.5,"-18 - 10","Greater Yellowlegs"
"beta.precipitation",-0.46,8,-0.5,"-16 - 15","Greater Yellowlegs"
"beta.precipitation_sq",0.68,7.6,0.72,"-14 - 16","Greater Yellowlegs"
"beta.rivers",-4.1,6.6,-3.6,"-18 - 7.8","Greater Yellowlegs"
"beta.rivers_sq",-1.2,7.1,-0.99,"-16 - 12","Greater Yellowlegs"
"beta.shrub_scrub",3.3,8.5,3.5,"-14 - 19","Greater Yellowlegs"
"beta.shrub_scrub_sq",0.58,6.9,0.61,"-13 - 14","Greater Yellowlegs"
"beta.slope",-5.7,11,-6.7,"-26 - 17","Greater Yellowlegs"
"beta.slope_sq",1.3,7.3,1.7,"-14 - 15","Greater Yellowlegs"
"beta.time_of_day",0.74,0.32,0.73,"0.14 - 1.4","Greater Yellowlegs"
"beta.woody_wetland",-4.2,8.3,-4,"-21 - 12","Greater Yellowlegs"
"beta.woody_wetland_sq",-1.3,6.8,-0.77,"-16 - 11","Greater Yellowlegs"
"beta.0",-3.7,0.17,-3.7,"-4.1 - -3.4","Green-tailed Towhee"
"beta.aspect",-0.13,6.8,-0.53,"-12 - 14","Green-tailed Towhee"
"beta.aspect_sq",-6.1,6.6,-5.9,"-20 - 6.4","Green-tailed Towhee"
"beta.barren_land",-1.8,6.7,-1,"-17 - 9.3","Green-tailed Towhee"
"beta.barren_land_sq",-3.3,7.1,-3.2,"-17 - 11","Green-tailed Towhee"
"beta.cultivated_crop",-6,8.8,-5.6,"-24 - 9.9","Green-tailed Towhee"
"beta.cultivated_crop_sq",-0.33,7.3,-0.28,"-15 - 14","Green-tailed Towhee"
"beta.deciduous_forest",12,4.6,12,"3.6 - 22","Green-tailed Towhee"
"beta.deciduous_forest_sq",-0.29,3.7,-0.36,"-7.4 - 7.1","Green-tailed Towhee"
"beta.developed_high_intensity",-9.8,7.9,-9.7,"-26 - 5.5","Green-tailed Towhee"
"beta.developed_high_intensity_sq",1.9,8.3,1.6,"-14 - 19","Green-tailed Towhee"
"beta.developed_low_intensity",-17,8.1,-17,"-33 - -1.6","Green-tailed Towhee"
"beta.developed_low_intensity_sq",15,7.1,15,"-0.15 - 28","Green-tailed Towhee"
"beta.effort_hours",0.2,0.082,0.21,"0.04 - 0.36","Green-tailed Towhee"
"beta.elevation",16,6.9,16,"2.2 - 29","Green-tailed Towhee"
"beta.elevation_sq",-2.4,6.9,-2.4,"-16 - 11","Green-tailed Towhee"
"beta.emergent_wetland",-12,7.7,-12,"-27 - 3.5","Green-tailed Towhee"
"beta.emergent_wetland_sq",0.33,6.6,1.1,"-14 - 11","Green-tailed Towhee"
"beta.evergreen_forest",4.3,5.7,4.3,"-7 - 16","Green-tailed Towhee"
"beta.evergreen_forest_sq",-6.7,5.1,-6.7,"-17 - 3.6","Green-tailed Towhee"
"beta.grassland_herbaceous",-9.5,6,-9.3,"-22 - 1.9","Green-tailed Towhee"
"beta.grassland_herbaceous_sq",6.7,5.6,6.9,"-4.9 - 17","Green-tailed Towhee"
"beta.lakes",-7.3,7.3,-7,"-22 - 6.1","Green-tailed Towhee"
"beta.lakes_sq",1.4,7.3,1.7,"-14 - 15","Green-tailed Towhee"
"beta.max_temperature",-24,6.6,-24,"-37 - -11","Green-tailed Towhee"
"beta.max_temperature_sq",-31,6.3,-31,"-44 - -19","Green-tailed Towhee"
"beta.mixed_forest",-7.9,5.8,-7.7,"-20 - 2.9","Green-tailed Towhee"
"beta.mixed_forest_sq",-5.4,6.5,-5.2,"-18 - 7.1","Green-tailed Towhee"
"beta.number_observers",0.1,0.12,0.11,"-0.14 - 0.32","Green-tailed Towhee"
"beta.ocean",-5.8,8,-5.4,"-23 - 8.7","Green-tailed Towhee"
"beta.ocean_sq",1,7.6,0.82,"-13 - 16","Green-tailed Towhee"
"beta.pasture_hay",-7.9,7.3,-7.5,"-23 - 5.4","Green-tailed Towhee"
"beta.pasture_hay_sq",-1.2,7.4,-0.91,"-16 - 12","Green-tailed Towhee"
"beta.precipitation",-6.2,5.3,-6.2,"-17 - 4.2","Green-tailed Towhee"
"beta.precipitation_sq",4.8,4.6,4.9,"-4.3 - 14","Green-tailed Towhee"
"beta.rivers",5,5.6,5.5,"-8 - 14","Green-tailed Towhee"
"beta.rivers_sq",-5.3,6,-5.8,"-16 - 7.5","Green-tailed Towhee"
"beta.shrub_scrub",20,4.3,20,"12 - 29","Green-tailed Towhee"
"beta.shrub_scrub_sq",0.94,4.5,1.3,"-10 - 8.5","Green-tailed Towhee"
"beta.slope",2.6,6.3,2.9,"-10 - 14","Green-tailed Towhee"
"beta.slope_sq",-9.5,5.2,-9.6,"-20 - 1","Green-tailed Towhee"
"beta.time_of_day",-0.058,0.098,-0.059,"-0.25 - 0.13","Green-tailed Towhee"
"beta.woody_wetland",-3,6,-2.7,"-15 - 8","Green-tailed Towhee"
"beta.woody_wetland_sq",-8,6.8,-8.2,"-21 - 5.5","Green-tailed Towhee"
"beta.0",-5.2,0.24,-5.2,"-5.7 - -4.7","Green-winged Teal"
"beta.aspect",5.7,9.5,5.5,"-13 - 24","Green-winged Teal"
"beta.aspect_sq",-0.51,8.3,-0.37,"-17 - 15","Green-winged Teal"
"beta.barren_land",-7.1,7.9,-6.7,"-23 - 7.2","Green-winged Teal"
"beta.barren_land_sq",1,7.4,1.3,"-14 - 15","Green-winged Teal"
"beta.cultivated_crop",7.3,7.8,7.3,"-8 - 23","Green-winged Teal"
"beta.cultivated_crop_sq",-2.8,7.1,-2.8,"-17 - 11","Green-winged Teal"
"beta.deciduous_forest",-2.9,8.8,-2.8,"-21 - 14","Green-winged Teal"
"beta.deciduous_forest_sq",6.6,8,6.9,"-9.8 - 22","Green-winged Teal"
"beta.developed_high_intensity",-8.2,8.7,-8.1,"-26 - 8.5","Green-winged Teal"
"beta.developed_high_intensity_sq",3.8,7.9,4.2,"-13 - 18","Green-winged Teal"
"beta.developed_low_intensity",-9.9,8.7,-9.7,"-27 - 6.9","Green-winged Teal"
"beta.developed_low_intensity_sq",4.7,8,4.9,"-11 - 20","Green-winged Teal"
"beta.effort_hours",0.058,0.19,0.075,"-0.37 - 0.39","Green-winged Teal"
"beta.elevation",0.4,8.6,0.42,"-17 - 17","Green-winged Teal"
"beta.elevation_sq",-3.6,8.4,-3.5,"-20 - 13","Green-winged Teal"
"beta.emergent_wetland",8.1,7.2,8.3,"-6.7 - 22","Green-winged Teal"
"beta.emergent_wetland_sq",-6.6,6.9,-6.1,"-21 - 5.4","Green-winged Teal"
"beta.evergreen_forest",-7.8,8.4,-7.7,"-25 - 8.4","Green-winged Teal"
"beta.evergreen_forest_sq",4.6,8.1,4.8,"-12 - 20","Green-winged Teal"
"beta.grassland_herbaceous",14,7.4,14,"-0.68 - 29","Green-winged Teal"
